127.0.0.1, 2016-03-20 15:31:55, POST, /admin/default/edit/myapp/views/default/second.html, HTTP/1.1, 200, 0.050200
127.0.0.1, 2016-03-20 15:31:59, GET, /myapp/default/first, HTTP/1.1, 200, 0.071750
127.0.0.1, 2016-03-20 15:32:06, GET, /myapp/default/second, HTTP/1.1, 200, 0.048108
127.0.0.1, 2016-03-20 15:32:06, GET, /myapp/static/js/share.js, HTTP/1.1, 304, 0.000657
127.0.0.1, 2016-03-20 15:32:08, GET, /myapp/default/first, HTTP/1.1, 200, 0.051257
127.0.0.1, 2016-03-20 15:32:28, GET, /myapp/default/second, HTTP/1.1, 200, 0.064391
127.0.0.1, 2016-03-20 15:32:28, GET, /myapp/static/js/share.js, HTTP/1.1, 304, 0.000548
127.0.0.1, 2016-03-20 15:32:33, GET, /myapp/default/first, HTTP/1.1, 200, 0.044521
127.0.0.1, 2016-03-20 15:32:35, GET, /myapp/default/second, HTTP/1.1, 200, 0.042663
127.0.0.1, 2016-03-20 15:32:35, GET, /myapp/static/js/share.js, HTTP/1.1, 304, 0.000412
127.0.0.1, 2016-03-20 15:32:37, GET, /myapp/default/first, HTTP/1.1, 200, 0.043668
127.0.0.1, 2016-03-20 15:32:49, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.056567
127.0.0.1, 2016-03-20 15:32:49, GET, /myapp/appadmin/hooks, HTTP/1.1, 200, 0.123419
127.0.0.1, 2016-03-20 15:32:54, GET, /admin/default/peek/myapp/views/default/second.html, HTTP/1.1, 200, 0.030490
127.0.0.1, 2016-03-20 15:32:54, GET, /admin/default/design/myapp, HTTP/1.1, 200, 0.178069
127.0.0.1, 2016-03-20 15:33:25, GET, /admin/default/logout, HTTP/1.1, 303, 0.027304
127.0.0.1, 2016-03-20 15:33:25, GET, /admin/default/index, HTTP/1.1, 200, 0.028699
127.0.0.1, 2016-03-20 17:15:05, GET, /, HTTP/1.1, 303, 0.000820
127.0.0.1, 2016-03-20 17:15:05, GET, /, HTTP/1.1, 303, 0.000291
127.0.0.1, 2016-03-20 17:15:06, GET, /welcome/default/index, HTTP/1.1, 200, 0.624295
127.0.0.1, 2016-03-20 17:15:06, GET, /welcome/default/index, HTTP/1.1, 200, 0.011898
127.0.0.1, 2016-03-20 17:15:06, GET, /welcome/static/js/share.js, HTTP/1.1, 304, 0.001547
127.0.0.1, 2016-03-20 17:15:06, GET, /welcome/static/js/share.js, HTTP/1.1, 304, 0.000319
127.0.0.1, 2016-03-20 17:15:35, GET, /default/index, HTTP/1.1, 404, 0.000519
127.0.0.1, 2016-03-20 17:15:35, GET, /favicon.ico, HTTP/1.1, 400, 0.000268
127.0.0.1, 2016-03-20 17:15:46, GET, /admin/default/index, HTTP/1.1, 200, 0.270922
127.0.0.1, 2016-03-20 17:15:50, POST, /admin/default/index, HTTP/1.1, 303, 0.058499
127.0.0.1, 2016-03-20 17:15:50, GET, /admin/default/site, HTTP/1.1, 200, 0.079438
127.0.0.1, 2016-03-20 17:15:50, POST, /admin/default/check_version, HTTP/1.1, 200, 0.054186
127.0.0.1, 2016-03-20 17:15:58, GET, /myapp/default/index, HTTP/1.1, 200, 0.165090
